/watch?v=B4yEaO9ZT88&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=87%2C (Kor, Eng) 세바시 477회 나는 나쁜 엄마입니다 | 양정숙 장애인 수영선수 김세진군 어머니
/watch?v=1CdWEC6WZwM&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=88%2C (Kor, Eng) 세바시 422회 청년들이 주목해야 할 학벌사회의 변화 | 이범 교육평론가
/watch?v=v89KQY4jG5E&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=89%2C (Kor, Eng) 세바시 540회 이동의 경험을 혁신하다 | 남궁성 한국도로공사 교통연구실장
/watch?v=t2efTQJjQ3o&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=91%2C (Kor, Eng, Chn, Jpn, Fra) [2015 서울인문포럼X세바시] 함께 이롭게, 더불어 행복하게 | 배양숙 (사)수요포럼인문의숲 대표, 서울인문포럼 집행위원장
/watch?v=buMvCfxJxwA&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=92%2C (Kor) 세바시 415회 시시한 아이디어들이 성공하는 이유 | 김성민 IWELL 대표, 장미와 찔레 저자
/watch?v=aij9Q_tEO-I&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=93%2C (Kor) 세바시 17회 - 희망을 여행하라 | 임영신 공정여행 전문가
/watch?v=P3_wYwcNyew&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=94%2C [비공개 동영상]
/watch?v=TBqKHlWnaUs&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=95%2C (Kor, Eng, Chn, Jpn, Fra, Ita, Ger, Por, Rus, Spa, Fl) 세바시 551회 휠체어 파일럿, 꿈을 함께 실현하다 | 최영재 휠체어 파일럿
/watch?v=j2R4IsWx7QE&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=96%2C (Kor) 세바시 179회 당신도 나와 같은 사람이라고 말해주세요 | 이레샤 톡투미 대표
/watch?v=ZL-UCOjf4iQ&t=0s&list=PLI6bDyv0uVQBDIuRCrzQGFF2WaXIXvjb5&index=97%2C (Kor) 세바시 211회 죽어가는 꿈을 구출하라 | 김미경 아트스피치 원장
